TimeStep,AccelerationY_1,AccelerationY_10,AccelerationY_11,AccelerationY_12,AccelerationY_13,AccelerationY_14,AccelerationY_15,AccelerationY_16,AccelerationY_17,AccelerationY_18,AccelerationY_19,AccelerationY_2,AccelerationY_20,AccelerationY_21,AccelerationY_22,AccelerationY_23,AccelerationY_3,AccelerationY_4,AccelerationY_5,AccelerationY_6,AccelerationY_7,AccelerationY_8,AccelerationY_9,PositionY_1,PositionY_10,PositionY_11,PositionY_12,PositionY_13,PositionY_14,PositionY_15,PositionY_16,PositionY_17,PositionY_18,PositionY_19,PositionY_2,PositionY_20,PositionY_21,PositionY_22,PositionY_23,PositionY_3,PositionY_4,PositionY_5,PositionY_6,PositionY_7,PositionY_8,PositionY_9,VelocityY_1,VelocityY_10,VelocityY_11,VelocityY_12,VelocityY_13,VelocityY_14,VelocityY_15,VelocityY_16,VelocityY_17,VelocityY_18,VelocityY_19,VelocityY_2,VelocityY_20,VelocityY_21,VelocityY_22,VelocityY_23,VelocityY_3,VelocityY_4,VelocityY_5,VelocityY_6,VelocityY_7,VelocityY_8,VelocityY_9
15,-1.0799999300000005,-1.80845066,-1.756143259999999,-1.4755979000000004,-1.1300860999999998,-0.8105936000000007,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-1.0799999299999996,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-1.07999993,-1.07999993,-1.08000007,-1.089213853,-1.171662276,-1.3280091299999999,-1.6219947000000001,0.9499797999999999,3.4428114,3.5489014,3.6146545999999997,3.6499514,3.6654892,3.6700001,3.6700001,3.6700001,3.6700001,3.6700001,1.2962894999999999,3.6700001,3.6700001,3.6700001,3.6700001,1.6360549999999998,1.9597626,2.2836685,2.5755958999999997,2.8501914,3.0890141,3.289093,-5.79571152,5.623354,7.43288374,8.943665,10.0035639,10.6294022,10.8999958,10.8999958,10.8999958,10.8999958,10.8999958,-4.84302855,10.8999958,10.8999958,10.8999958,10.8999958,-3.84128857,-2.81233478,-1.6609134700000001,-0.5213728,0.7474952340000001,2.1357913,3.752713
16,-1.0799999199999997,-1.54359249,-1.6576123200000001,-1.5816479999999995,-1.3426288999999993,-1.0524912000000004,-0.7776183999999997,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-1.0799999200000006,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-1.0799999200000001,-1.0799999200000001,-1.0799999200000001,-1.08000004,-1.095692334,-1.1908268000000002,-1.36000231,0.8353843999999999,3.5108071,3.645155,3.7373543,3.7943001,3.8251038,3.838707,3.8426667,3.8426667,3.8426667,3.8426667,1.1975727,3.8426667,3.8426667,3.8426667,3.8426667,1.5540333,1.8948899,2.2379875,2.5489064,2.8443871,3.1047631,3.3289714,-6.87571144,4.07976151,5.77527142,7.362017,8.660935,9.576910999999999,10.1223774,10.3599958,10.3599958,10.3599958,10.3599958,-5.92302847,10.3599958,10.3599958,10.3599958,10.3599958,-4.92128849,-3.8923347,-2.7409133900000002,-1.60137284,-0.3481971,0.9449645,2.39271069
17,-1.0799999200000006,-1.39316512,-1.4570217200000002,-1.5177069999999997,-1.4316149999999999,-1.2279719999999994,-0.9834584,-0.7475018000000002,-0.5399998000000004,-0.5399998000000004,-0.5399998000000004,-1.0799999199999997,-0.5399998000000004,-0.5399998000000004,-0.5399998000000004,-0.5399998000000004,-1.0799999199999997,-1.0800003,-1.0799999199999997,-1.0800001599999998,-1.08000005,-1.104597138,-1.21507931,0.7027893,3.555584,3.7171250000000002,3.8347588,3.9147892,3.9642524999999997,3.9910214,4.0028744,4.0063324,4.0063324,4.0063324,1.0808563,4.0063324,4.0063324,4.0063324,4.0063324,1.4540114,1.8120175,2.174305,2.5042172000000003,2.8205834,3.1021014,3.3485985,-7.9557113600000005,2.68659639,4.3182497,5.84431,7.22932,8.348939,9.138919,9.612494,9.819996,9.819996,9.819996,-7.00302839,9.819996,9.819996,9.819996,9.819996,-6.00128841,-4.972335,-3.82091331,-2.681373,-1.42819715,-0.15963263800000002,1.17763138
18,-1.0799996399999987,-1.24450993,-1.3192327000000001,-1.3678614600000003,-1.3905233800000003,-1.30263859,-1.128672,-0.9221950000000003,-0.7202020000000005,-0.5399999999999991,-0.5399999999999991,-1.08000061,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-1.0799999300000005,-1.08,-1.0799999300000005,-1.0799998000000004,-1.07999985,-1.079999972,-1.1173201147,0.5521946,3.5796185,3.7671089,3.9093666,4.0121014,4.0816914,4.124527,4.1477127,4.1579953,4.1609993,4.1609993,0.9461383999999999,4.1609993,4.1609993,4.1609993,4.1609993,1.3359914,1.7111454,2.0926228,2.4415283,2.7787800000000002,3.0814414,3.3496037,-9.035711,1.44208646,2.999017,4.47644854,5.83879662,7.04630041,8.010247,8.690299,9.099794,9.279996,9.279996,-8.083029,9.279996,9.279996,9.279996,9.279996,-7.08128834,-6.052335,-4.90091324,-3.7613728,-2.508197,-1.23963261,0.0603112653
19,-1.0800002000000006,-1.1344627760000001,-1.2773266999999997,-1.25125954,-1.27972662,-1.2768111199999996,-1.1912715499999997,-1.0424346599999996,-0.8679559999999995,-0.6956129999999998,-0.5400000000000009,-1.08,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-1.0799996600000004,-1.07999971,-1.0799997599999998,-1.0800001999999997,-1.08,-1.07999992,-1.0801089453,0.3836003,3.5847454,3.7958031,3.9631195,4.0880871,4.1778514,4.2381764,4.275177,4.2951927,4.3040714,4.3066654,0.7934213999999999,4.3066654,4.3066654,4.3066654,4.3066654,1.1999703,1.5922737,1.9929413999999999,2.360838,2.7189769999999998,3.0427814,3.3326073,-10.1157112,0.307623684,1.7216903000000001,3.225189,4.55907,5.76948929,6.81897545,7.64786434,8.231838,8.584383,8.739996,-9.163029,8.739996,8.739996,8.739996,8.739996,-8.161288,-7.13233471,-5.980913,-4.841373,-3.588197,-2.31963253,-1.01979768
20,-1.0799999000000007,-1.082771384,-1.155367556,-1.21844962,-1.1863051700000002,-1.19572229,-1.1757850699999999,-1.09488934,-0.9674503899999998,-0.820075000000001,-0.6735969999999991,-1.0799996000000007,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-1.08,-1.0800002899999992,-1.08,-1.08,-1.08,-1.0799999200000001,-1.0800000500000002,0.1970043,3.571827,3.8052425999999997,3.9965649,4.1443014,4.2540797999999995,4.3322296,4.3843937,4.4162655,4.4334774,4.4411049,0.6227036,4.4433327,4.4433327,4.4433327,4.4433327,1.0459481,1.4554024,1.8752594,2.2621479,2.6411743,2.9861214,3.2976114,-11.1957111,-0.7751477,0.566322744,2.00673938,3.37276483,4.573767,5.64319038,6.552975,7.26438761,7.764308,8.066399,-10.2430286,8.199996,8.199996,8.199996,8.199996,-9.241288,-8.212335,-7.060913,-5.921373,-4.668197,-3.39963245,-2.09979773
21,-1.08,-1.0800000200000002,-1.0891659439999999,-1.179256739,-1.15992183,-1.1242235200000001,-1.1174039799999997,-1.0865790000000004,-1.0114293100000005,-0.902291,-0.7779730000000002,-1.08,-0.6540150000000002,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-1.0800000999999995,-1.08,-1.0799999999999992,-1.08,-1.08,-1.07999993,-1.0799999199999997,-0.007591199999999999,3.5409069,3.7965279,4.0103569,4.1811814,4.3115731,4.4076596,4.4755001,4.5204813999999995,4.5478439999999996,4.5625782,0.4339867,4.5690995,4.5709992,4.5709992,4.5709992,0.8739262,1.3005295000000001,1.7395783,2.1454582,2.5453701,2.9114614,3.2446156,-12.2757111,-1.8551477200000002,-0.5228432,0.827482641,2.212843,3.44954348,4.5257864,5.466396,6.2529582999999995,6.862017,7.288426,-11.3230286,7.545981,7.659996,7.659996,7.659996,-10.3212881,-9.292335,-8.140913,-7.001373,-5.748197,-4.47963238,-3.17979765
22,-1.079999899999999,-1.0800000399999998,-1.0799999699999998,-1.099080801,-1.12980872,-1.1048774799999999,-1.0655319700000003,-1.0457893899999995,-1.00830984,-0.9392865500000003,-0.8458276600000003,-1.079999899999999,-0.7411556900000003,-0.6367269999999996,-0.6313457199999997,-0.6313457199999997,-1.079999899999999,-1.0799994999999996,-1.08,-1.0799999999999992,-1.08,-1.0799999199999997,-1.0799999200000001,-0.23018639999999999,3.4919873,3.7698136,4.0058314,4.1992314,4.3506514,4.4653302,4.5491772,4.6078914,4.6465569,4.6699543,0.22727019999999998,4.6825114,4.6880532,4.6881428,4.6881428,0.6839046999999999,1.127657,1.5858956,2.0107689,2.4315663,2.8188,3.1736183000000002,-13.355711,-2.93514776,-1.6028431699999999,-0.27159816000000003,1.08303428,2.344666,3.46025443,4.42060661,5.24464846,5.9227304499999995,6.44259834,-12.4030285,6.80482531,7.023269,7.02865028,7.02865028,-11.401288,-10.3723345,-9.220913,-8.081373,-6.828197,-5.5596323,-4.25979757
23,-1.0799999000000007,-1.07999993,-1.0800000400000003,-1.0799999800000002,-1.1096126058,-1.08174812,-1.05355906,-1.01111293,-0.9814658199999995,-0.9401834499999993,-0.8772183399999998,-1.0799999000000007,-0.7971753100000001,-0.7092097400000004,-0.6999859800000001,-0.6999859800000001,-1.08,-1.0799999000000007,-1.0799999000000007,-1.08,-1.0799999999999992,-1.0799997000000001,-1.0799999299999996,-0.47078129999999996,3.4250679,3.7250996,3.983305,4.1987896,4.3717003,4.5054414,4.6060028,4.6789437,4.729599,4.7627114,0.002554,4.7826414,4.7932873,4.7936214,4.7936214,0.47588349999999996,0.9367848,1.4142132,1.8580799,2.2997628,2.7081394,3.0846214,-14.4357109,-4.01514769,-2.68284321,-1.3515981400000001,-0.0265783258,1.26291788,2.40669537,3.40949368,4.26318264,4.982547,5.56538,-13.4830284,6.00765,6.31405926,6.3286643,6.3286643,-12.481288,-11.4523344,-10.3009129,-9.161373,-7.9081969999999995,-6.639632,-5.3397974999999995
24,-1.0799999000000007,-1.0799999199999997,-1.0799999200000001,-1.0800000499999998,-1.0800000241999999,-1.06304008,-1.03620148,-1.0059831100000003,-0.96187377,-0.9247800000000002,-0.881545,-1.079999899999999,-0.8242770000000004,-0.7556457499999993,-0.74435568,-0.74435568,-1.0799999000000007,-1.0799999000000007,-1.0799999000000007,-1.0800001000000012,-1.08,-1.08,-1.0799999200000006,-0.7293758,3.340149,3.6623859999999997,3.9427776999999997,4.1803475,4.3750325,4.5282841,4.6460614,4.7339649,4.7972279,4.8407746,-0.24016379999999998,4.86903,4.8859272,4.8866914,4.8866914,0.2498627,0.7279129,1.2245314,1.6873914,2.1499596,2.5794791999999998,2.9776249,-15.5157108,-5.09514761,-3.7628431300000003,-2.43159819,-1.10657835,0.1998778,1.37049389,2.40351057,3.30130887,4.057767,4.683835,-14.5630283,5.183373,5.55841351,5.58430862,5.58430862,-13.5612879,-12.5323343,-11.3809128,-10.2413731,-8.988197,-7.719632,-6.41979742
25,-1.0799991999999996,-1.0799999200000006,-1.07999987,-1.0799998100000003,-1.0799999200000001,-1.0744873,-1.020518811,-0.9932501299999998,-0.9620072800000004,-0.91867169,-0.87597272,-1.08,-0.8318996699999994,-0.7797595100000008,-0.7678306199999998,-0.7678306199999998,-1.0799999000000007,-1.08,-1.079999899999999,-1.079999899999999,-1.0800003,-1.080000000000001,-1.0799999199999997,-1.0059719,3.2372303,3.5816727,3.8842514,4.1439038,4.3604565,4.5341168,4.6695652,4.7729531,4.8495465,4.9042397,-0.5008812,4.941555,4.9655724,4.9669667,4.9669667,0.0058403,0.5010414,1.0168495,1.4987013999999999,1.9821567999999998,2.4328194,2.8526287,-16.59571,-6.17514753,-4.842843,-3.511598,-2.18657827,-0.8746094999999999,0.349975079,1.41026044,2.33930159,3.13909531,3.80786228,-15.6430283,4.35147333,4.7786539999999995,4.816478,4.816478,-14.6412878,-13.6123343,-12.4609127,-11.321373,-10.0681973,-8.799632,-7.49979734
26,-1.0799999999999983,-1.0799999299999996,-1.08,-1.08,-1.07999993,-1.08000001,-1.027343839,-0.981139005,-0.9529842199999998,-0.9214184300000001,-0.8808686699999999,-1.0799999000000025,-0.8352827999999999,-0.7909208699999994,-0.7788512599999997,-0.7788512599999997,-1.079999899999999,-1.079999899999999,-1.0799999000000007,-1.0799999000000007,-1.0799999000000007,-1.08,-1.0800006600000005,-1.3005676,3.1163114,3.4829579,3.807724,4.0894604,4.327879,4.5228272,4.6767178,4.7960587,4.8865071,4.9530214,-0.7795985999999999,5.0001583,5.0320339,5.0342598,5.0342598,-0.2561817,0.25616839999999996,0.7911682,1.2920114,1.7963543,2.268158,2.7096329,-17.67571,-7.25514746,-5.922843,-4.591598,-3.2665782,-1.95460951,-0.67736876,0.42912143500000005,1.38631737,2.21767688,2.9269936100000002,-16.7230282,3.5161905300000003,3.98773313,4.03762674,4.03762674,-15.7212877,-14.6923342,-13.5409126,-12.4013729,-11.1481972,-9.879632,-8.579798
27,-1.0800000000000018,-1.0800005400000003,-1.08,-1.0799999999999992,-1.0799998,-1.0800000499999998,-1.06815338,-0.986804735,-0.944560317,-0.9154692899999999,-0.8840756100000005,-1.0799998999999971,-0.8463051300000002,-0.8029787600000002,-0.7899597400000005,-0.7899597400000005,-1.0800009,-1.0799999000000007,-1.08,-1.0799999000000007,-1.079999899999999,-1.079999899999999,-1.08,-1.6131630000000001,2.9773914,3.3662434,3.7131977,4.0170174,4.2773014,4.4937344,4.6674233,4.8034213999999995,4.9082114,4.9870701,-1.0763149,5.0446568,5.0851136,5.0883885,5.0883885,-0.5362034,-0.0067043,0.5474873,1.0673214,1.5925503,2.0854969,2.5486355,-18.75571,-8.335148,-7.002843,-5.6715979999999995,-4.346578,-3.03460956,-1.74552214,-0.5576833,0.441757053,1.30220759,2.042918,-17.8030281,2.6698854,3.18475437,3.247667,3.247667,-16.8012886,-15.7723341,-14.6209126,-13.4813728,-12.2281971,-10.9596319,-9.659798
28,-1.0799999999999983,-1.08,-1.08,-1.08,-1.08,-1.08000016,-1.08000004,-1.0226579199999999,-0.9511248170000001,-0.910721541,-0.8808293699999998,-1.0799999000000007,-0.8499300500000002,-0.8146805699999997,-0.8017493899999999,-0.8017493899999999,-1.0799999000000007,-1.0800009,-1.079999899999999,-1.08,-1.0799999000000007,-1.0799999000000007,-1.079999599999999,-1.9437586,2.8204727,3.2315293,3.6006714,3.9265746999999998,4.208725,4.4466414,4.6410847,4.7949314,4.9147358,5.0064373,-1.3910312,5.0749893,5.1246147,5.1291542,5.1291542,-0.8342246999999999,-0.28757659999999996,0.28580479999999997,0.8246327,1.3707466,1.8848362,2.3696384999999998,-19.83571,-9.415148,-8.082843,-6.7515979999999995,-5.426578,-4.11460972,-2.82552218,-1.58034122,-0.5093677640000001,0.391486049,1.16208863,-18.883028,1.8199553499999999,2.3700738,2.44591761,2.44591761,-17.8812885,-16.852335,-15.7009125,-14.561372800000001,-13.308197,-12.0396318,-10.7397976
